1s | 50.3C | 310ppm | YES | SAFE
158s | 47.9C | 301ppm | YES | SAFE
159s | 48.3C | 302ppm | YES | SAFE
160s | 46.1C | 302ppm | YES | SAFE
161s | 47.2C | 302ppm | YES | SAFE
162s | 46.3C | 302ppm | YES | SAFE
163s | 46.4C | 302ppm | YES | SAFE
164s | 46.0C | 303ppm | YES | SAFE
165s | 51.1C | 303ppm | YES | SAFE
166s | 46.8C | 303ppm | YES | SAFE
167s | 48.8C | 303ppm | YES | SAFE
168s | 44.5C | 304ppm | YES | SAFE
169s | 43.9C | 304ppm | YES | SAFE
170s | 47.3C | 304ppm | YES | SAFE
171s | 45.9C | 304ppm | YES | SAFE
172s | 46.5C | 305ppm | YES | SAFE
173s | 42.2C | 305ppm | YES | SAFE
174s | 48.1C | 305ppm | YES | SAFE
175s | 47.0C | 306ppm | YES | SAFE
176s | 44.3C | 306ppm | YES | SAFE
177s | 45.2C | 306ppm | YES | SAFE
178s | 42.4C | 307ppm | YES | SAFE
179s | 45.4C | 307ppm | YES | SAFE
180s | 43.5C | 307ppm | YES | SAFE
181s | 47.2C | 308ppm | YES | SAFE
182s | 46.2C | 308ppm | YES | SAFE
183s | 42.5C | 308ppm | YES | SAFE
184s | 44.0C | 309ppm | YES | SAFE
185s | 49.1C | 309ppm | YES | SAFE
186s | 45.5C | 309ppm | YES | SAFE
187s | 45.8C | 310ppm | YES | SAFE
188s | 45.3C | 310ppm | YES | SAFE
189s | 44.1C | 310ppm | YES | SAFE
190s | 44.3C | 311ppm | YES | SAFE
191s | 42.5C | 311ppm | YES | SAFE
192s | 44.9C | 311ppm | YES | SAFE
193s | 46.2C | 311ppm | YES | SAFE
194s | 40.0C | 312ppm | YES | SAFE
195s | 47.7C | 312ppm | YES | SAFE
196s | 46.9C | 312ppm | YES | SAFE
197s | 50.1C | 313ppm | YES | SAFE
198s | 43.0C | 313ppm | YES | SAFE
199s | 46.6C | 313ppm | YES | SAFE
200s | 46.0C | 314ppm | YES | SAFE
