1s | 44.4C | 305ppm | YES | SAFE
204s | 68.4C | 309ppm | NO | SAFE
205s | 67.8C | 304ppm | NO | SAFE
206s | 70.3C | 306ppm | NO | SAFE
207s | 68.3C | 308ppm | NO | SAFE
208s | 67.8C | 311ppm | NO | SAFE
209s | 70.4C | 303ppm | NO | SAFE
210s | 68.2C | 309ppm | NO | SAFE
211s | 69.6C | 300ppm | NO | SAFE
212s | 69.4C | 302ppm | NO | SAFE
213s | 68.4C | 305ppm | NO | SAFE
214s | 69.0C | 303ppm | NO | SAFE
215s | 68.3C | 311ppm | NO | SAFE
216s | 65.8C | 314ppm | NO | SAFE
217s | 65.3C | 307ppm | NO | SAFE
218s | 69.7C | 303ppm | NO | SAFE
219s | 68.8C | 309ppm | NO | SAFE
220s | 70.1C | 313ppm | NO | SAFE
221s | 69.0C | 316ppm | NO | SAFE
222s | 68.4C | 300ppm | NO | SAFE
223s | 69.9C | 311ppm | NO | SAFE
224s | 67.5C | 303ppm | NO | SAFE
225s | 69.6C | 307ppm | NO | SAFE
226s | 67.1C | 303ppm | NO | SAFE
227s | 68.5C | 308ppm | NO | SAFE
228s | 71.4C | 307ppm | NO | SAFE
229s | 69.0C | 303ppm | NO | SAFE
230s | 68.1C | 311ppm | NO | SAFE
231s | 68.5C | 311ppm | NO | SAFE
232s | 67.6C | 310ppm | NO | SAFE
233s | 70.8C | 315ppm | NO | SAFE
234s | 68.0C | 308ppm | NO | SAFE
235s | 68.1C | 314ppm | NO | SAFE
236s | 68.7C | 315ppm | NO | SAFE
237s | 69.8C | 309ppm | NO | SAFE
238s | 67.8C | 316ppm | NO | SAFE
239s | 69.6C | 316ppm | NO | SAFE
240s | 68.4C | 315ppm | NO | SAFE
241s | 66.8C | 317ppm | NO | SAFE
242s | 69.5C | 301ppm | NO | SAFE
243s | 69.3C | 310ppm | NO | SAFE
244s | 69.3C | 314ppm | NO | SAFE
245s | 66.2C | 311ppm | NO | SAFE
246s | 69.2C | 308ppm | NO | SAFE
247s | 67.9C | 314ppm | NO | SAFE
248s | 69.5C | 311ppm | NO | SAFE
249s | 66.2C | 318ppm | NO | SAFE
250s | 72.4C | 320ppm | NO | SAFE
251s | 69.1C | 304ppm | NO | SAFE
252s | 68.4C | 316ppm | NO | SAFE
253s | 69.0C | 317ppm | NO | SAFE
254s | 66.3C | 322ppm | NO | SAFE
255s | 68.4C | 312ppm | NO | SAFE
256s | 68.2C | 319ppm | NO | SAFE
257s | 69.1C | 318ppm | NO | SAFE
258s | 70.8C | 308ppm | NO | SAFE
259s | 70.3C | 312ppm | NO | SAFE
260s | 71.1C | 314ppm | NO | SAFE
261s | 69.9C | 314ppm | NO | SAFE
262s | 67.5C | 317ppm | NO | SAFE
263s | 70.6C | 323ppm | NO | SAFE
264s | 69.3C | 316ppm | NO | SAFE
265s | 69.2C | 325ppm | NO | SAFE
266s | 68.5C | 322ppm | NO | SAFE
267s | 69.9C | 320ppm | NO | SAFE
268s | 71.7C | 328ppm | NO | SAFE
269s | 70.0C | 319ppm | NO | SAFE
270s | 69.0C | 317ppm | NO | SAFE
271s | 67.5C | 320ppm | NO | SAFE
272s | 68.4C | 322ppm | NO | SAFE
273s | 69.3C | 313ppm | NO | SAFE
274s | 65.5C | 319ppm | NO | SAFE
275s | 70.0C | 318ppm | NO | SAFE
276s | 68.8C | 332ppm | NO | SAFE
277s | 69.2C | 324ppm | NO | SAFE
278s | 70.4C | 321ppm | NO | SAFE
279s | 70.5C | 332ppm | NO | SAFE
280s | 68.9C | 320ppm | NO | SAFE
281s | 69.5C | 327ppm | NO | SAFE
282s | 71.1C | 331ppm | NO | SAFE
283s | 68.0C | 323ppm | NO | SAFE
284s | 69.1C | 315ppm | NO | SAFE
285s | 70.6C | 312ppm | NO | SAFE
286s | 69.2C | 323ppm | NO | SAFE
287s | 65.0C | 321ppm | NO | SAFE
288s | 70.7C | 320ppm | NO | SAFE
289s | 69.5C | 327ppm | NO | SAFE
290s | 68.9C | 335ppm | NO | SAFE
291s | 68.0C | 311ppm | NO | SAFE
292s | 68.2C | 311ppm | NO | SAFE
293s | 69.3C | 320ppm | NO | SAFE
294s | 69.0C | 322ppm | NO | SAFE
295s | 69.9C | 337ppm | NO | SAFE
296s | 70.4C | 328ppm | NO | SAFE
297s | 66.1C | 328ppm | NO | SAFE
298s | 69.8C | 324ppm | NO | SAFE
299s | 68.8C | 330ppm | NO | SAFE
300s | 70.7C | 331ppm | NO | SAFE
