1s | 33.9C | 300ppm | NO | SAFE
148s | 77.6C | 284ppm | YES | SAFE
149s | 74.3C | 286ppm | YES | SAFE
150s | 76.5C | 284ppm | YES | SAFE
151s | 74.7C | 284ppm | NO | SAFE
152s | 76.0C | 284ppm | YES | SAFE
153s | 75.9C | 290ppm | YES | SAFE
154s | 74.4C | 285ppm | YES | SAFE
155s | 79.2C | 293ppm | NO | SAFE
156s | 78.0C | 286ppm | NO | SAFE
157s | 75.0C | 285ppm | YES | SAFE
158s | 78.3C | 282ppm | YES | SAFE
159s | 77.3C | 287ppm | YES | SAFE
160s | 75.9C | 285ppm | YES | SAFE
161s | 77.2C | 286ppm | NO | SAFE
162s | 79.5C | 285ppm | YES | SAFE
163s | 76.7C | 281ppm | NO | SAFE
164s | 74.6C | 278ppm | YES | SAFE
165s | 78.5C | 284ppm | YES | SAFE
166s | 77.3C | 281ppm | NO | SAFE
167s | 76.1C | 279ppm | YES | SAFE
168s | 76.6C | 282ppm | YES | SAFE
169s | 77.4C | 282ppm | YES | SAFE
170s | 75.1C | 286ppm | YES | SAFE
171s | 76.6C | 289ppm | YES | SAFE
172s | 76.9C | 287ppm | YES | SAFE
173s | 78.6C | 290ppm | YES | SAFE
174s | 78.0C | 280ppm | YES | SAFE
175s | 79.0C | 291ppm | YES | SAFE
176s | 76.2C | 290ppm | YES | SAFE
177s | 76.5C | 290ppm | YES | SAFE
178s | 76.1C | 293ppm | YES | SAFE
179s | 76.6C | 287ppm | YES | SAFE
180s | 77.9C | 277ppm | YES | SAFE
181s | 79.8C | 290ppm | YES | SAFE
182s | 76.9C | 282ppm | YES | SAFE
183s | 78.2C | 290ppm | YES | SAFE
184s | 76.8C | 282ppm | NO | SAFE
185s | 74.9C | 284ppm | YES | SAFE
186s | 81.1C | 285ppm | YES | SAFE
187s | 78.8C | 294ppm | YES | SAFE
188s | 75.8C | 291ppm | YES | SAFE
189s | 77.0C | 282ppm | YES | SAFE
190s | 74.5C | 284ppm | NO | SAFE
191s | 77.4C | 285ppm | YES | SAFE
192s | 78.8C | 289ppm | YES | SAFE
193s | 76.8C | 294ppm | YES | SAFE
194s | 80.5C | 290ppm | YES | SAFE
195s | 76.5C | 297ppm | YES | SAFE
196s | 79.2C | 288ppm | YES | SAFE
197s | 76.7C | 289ppm | YES | SAFE
198s | 78.8C | 288ppm | NO | SAFE
199s | 78.5C | 291ppm | YES | SAFE
200s | 79.0C | 294ppm | YES | SAFE
