1s | 79.6C | 305ppm | YES | SAFE
53s | 77.1C | 297ppm | YES | SAFE
54s | 76.8C | 305ppm | YES | SAFE
55s | 76.9C | 298ppm | YES | SAFE
56s | 79.1C | 298ppm | YES | SAFE
57s | 78.2C | 294ppm | YES | SAFE
58s | 76.9C | 301ppm | YES | SAFE
59s | 76.4C | 303ppm | YES | SAFE
60s | 76.9C | 295ppm | YES | SAFE
61s | 75.7C | 307ppm | YES | SAFE
62s | 76.6C | 292ppm | YES | SAFE
63s | 76.5C | 300ppm | YES | SAFE
64s | 76.7C | 307ppm | YES | SAFE
65s | 76.9C | 313ppm | YES | SAFE
66s | 77.8C | 307ppm | YES | SAFE
67s | 76.4C | 302ppm | YES | SAFE
68s | 75.9C | 298ppm | YES | SAFE
69s | 77.4C | 302ppm | YES | SAFE
70s | 75.9C | 297ppm | YES | SAFE
71s | 74.6C | 311ppm | YES | SAFE
72s | 74.3C | 296ppm | YES | SAFE
73s | 75.2C | 307ppm | YES | SAFE
74s | 72.8C | 306ppm | YES | SAFE
75s | 72.9C | 304ppm | YES | SAFE
76s | 73.2C | 311ppm | YES | SAFE
77s | 72.7C | 307ppm | YES | SAFE
78s | 72.2C | 327ppm | YES | SAFE
79s | 70.3C | 313ppm | YES | SAFE
80s | 70.7C | 317ppm | YES | SAFE
81s | 69.0C | 322ppm | YES | SAFE
82s | 69.8C | 320ppm | YES | SAFE
83s | 68.2C | 330ppm | YES | SAFE
84s | 69.3C | 333ppm | YES | SAFE
85s | 66.8C | 338ppm | YES | SAFE
86s | 67.7C | 330ppm | YES | SAFE
87s | 67.4C | 333ppm | YES | SAFE
88s | 66.0C | 331ppm | YES | SAFE
89s | 65.2C | 340ppm | YES | SAFE
90s | 62.8C | 342ppm | YES | SAFE
91s | 65.7C | 343ppm | YES | SAFE
92s | 63.3C | 344ppm | YES | SAFE
93s | 64.8C | 348ppm | YES | SAFE
94s | 62.5C | 350ppm | YES | SAFE
95s | 62.5C | 346ppm | YES | SAFE
96s | 61.5C | 348ppm | YES | SAFE
97s | 61.1C | 356ppm | YES | SAFE
98s | 59.7C | 347ppm | YES | SAFE
99s | 61.0C | 360ppm | YES | SAFE
100s | 59.7C | 352ppm | YES | SAFE
101s | 57.9C | 363ppm | YES | SAFE
102s | 57.2C | 372ppm | YES | SAFE
103s | 58.1C | 368ppm | YES | SAFE
104s | 55.7C | 365ppm | YES | SAFE
105s | 56.7C | 365ppm | YES | SAFE
106s | 55.0C | 357ppm | YES | SAFE
107s | 56.0C | 367ppm | YES | SAFE
108s | 54.3C | 379ppm | YES | SAFE
109s | 55.1C | 371ppm | YES | SAFE
110s | 55.4C | 386ppm | YES | SAFE
111s | 53.6C | 384ppm | YES | SAFE
112s | 52.6C | 386ppm | YES | SAFE
113s | 51.7C | 384ppm | YES | SAFE
114s | 52.6C | 391ppm | YES | SAFE
115s | 51.2C | 396ppm | YES | SAFE
116s | 52.5C | 386ppm | YES | SAFE
117s | 50.6C | 389ppm | YES | SAFE
118s | 48.6C | 400ppm | YES | SAFE
119s | 47.8C | 383ppm | YES | SAFE
120s | 47.4C | 388ppm | YES | SAFE
121s | 49.7C | 399ppm | YES | SAFE
122s | 48.6C | 380ppm | YES | SAFE
123s | 50.6C | 395ppm | YES | SAFE
124s | 48.6C | 390ppm | YES | SAFE
125s | 49.8C | 387ppm | YES | SAFE
126s | 51.5C | 392ppm | YES | SAFE
127s | 49.8C | 394ppm | YES | SAFE
128s | 50.0C | 384ppm | YES | SAFE
129s | 49.1C | 395ppm | YES | SAFE
130s | 50.8C | 388ppm | YES | SAFE
131s | 53.4C | 390ppm | YES | SAFE
132s | 51.4C | 394ppm | YES | SAFE
133s | 54.3C | 388ppm | YES | SAFE
134s | 53.2C | 389ppm | YES | SAFE
135s | 54.0C | 393ppm | YES | SAFE
136s | 55.0C | 388ppm | YES | SAFE
137s | 53.4C | 394ppm | YES | SAFE
138s | 55.3C | 397ppm | YES | SAFE
139s | 55.0C | 393ppm | YES | SAFE
140s | 55.7C | 390ppm | YES | SAFE
141s | 57.1C | 397ppm | YES | SAFE
142s | 55.9C | 392ppm | YES | SAFE
143s | 57.6C | 385ppm | YES | SAFE
144s | 57.0C | 390ppm | YES | SAFE
145s | 59.5C | 388ppm | YES | SAFE
146s | 57.9C | 387ppm | YES | SAFE
147s | 58.4C | 387ppm | YES | SAFE
148s | 60.7C | 394ppm | YES | SAFE
149s | 60.6C | 394ppm | YES | SAFE
150s | 60.3C | 395ppm | YES | SAFE
151s | 59.6C | 387ppm | YES | SAFE
152s | 58.9C | 399ppm | YES | SAFE
153s | 58.4C | 394ppm | YES | SAFE
154s | 57.5C | 395ppm | YES | SAFE
155s | 57.6C | 396ppm | YES | SAFE
156s | 57.4C | 391ppm | YES | SAFE
157s | 57.6C | 399ppm | YES | SAFE
158s | 55.9C | 404ppm | YES | SAFE
159s | 56.5C | 401ppm | YES | SAFE
160s | 56.5C | 403ppm | YES | SAFE
161s | 56.5C | 404ppm | YES | SAFE
162s | 56.5C | 408ppm | YES | SAFE
163s | 52.9C | 404ppm | YES | SAFE
164s | 53.6C | 416ppm | YES | SAFE
165s | 52.3C | 408ppm | YES | SAFE
166s | 52.0C | 419ppm | YES | SAFE
167s | 53.0C | 416ppm | YES | SAFE
168s | 51.2C | 422ppm | YES | SAFE
169s | 49.7C | 418ppm | YES | SAFE
170s | 52.1C | 420ppm | YES | SAFE
171s | 50.0C | 419ppm | YES | SAFE
172s | 50.8C | 419ppm | YES | SAFE
173s | 50.7C | 424ppm | YES | SAFE
174s | 51.2C | 423ppm | YES | SAFE
175s | 48.9C | 426ppm | YES | SAFE
176s | 47.5C | 418ppm | YES | SAFE
177s | 47.5C | 428ppm | YES | SAFE
178s | 44.8C | 434ppm | YES | SAFE
179s | 46.0C | 431ppm | YES | SAFE
180s | 46.1C | 437ppm | YES | SAFE
181s | 46.4C | 437ppm | YES | SAFE
182s | 43.4C | 440ppm | YES | SAFE
183s | 46.5C | 442ppm | YES | SAFE
184s | 43.2C | 449ppm | YES | SAFE
185s | 44.1C | 438ppm | YES | SAFE
186s | 43.8C | 442ppm | YES | SAFE
187s | 41.8C | 436ppm | YES | SAFE
188s | 43.7C | 444ppm | YES | SAFE
189s | 40.3C | 449ppm | YES | SAFE
190s | 40.7C | 449ppm | YES | SAFE
191s | 43.1C | 449ppm | YES | SAFE
192s | 40.6C | 455ppm | YES | SAFE
193s | 40.0C | 451ppm | YES | SAFE
194s | 39.6C | 454ppm | YES | SAFE
195s | 41.3C | 460ppm | YES | SAFE
196s | 40.8C | 454ppm | YES | SAFE
197s | 38.5C | 460ppm | YES | SAFE
198s | 38.8C | 474ppm | YES | SAFE
199s | 37.7C | 465ppm | YES | SAFE
200s | 39.4C | 458ppm | YES | SAFE
