1s | 69.8C | 325ppm | YES | SAFE
89s | 69.2C | 321ppm | YES | SAFE
90s | 74.0C | 318ppm | YES | SAFE
91s | 72.9C | 321ppm | YES | SAFE
92s | 72.8C | 301ppm | YES | SAFE
93s | 69.4C | 322ppm | YES | SAFE
94s | 71.2C | 308ppm | YES | SAFE
95s | 68.6C | 312ppm | YES | SAFE
96s | 68.3C | 303ppm | YES | SAFE
97s | 68.2C | 311ppm | YES | SAFE
98s | 68.9C | 299ppm | YES | SAFE
99s | 70.1C | 311ppm | YES | SAFE
100s | 68.7C | 305ppm | YES | SAFE
101s | 65.4C | 305ppm | YES | SAFE
102s | 68.3C | 299ppm | YES | SAFE
103s | 65.2C | 298ppm | YES | SAFE
104s | 66.7C | 300ppm | YES | SAFE
105s | 64.3C | 307ppm | YES | SAFE
106s | 63.5C | 308ppm | YES | SAFE
107s | 66.5C | 302ppm | YES | SAFE
108s | 63.6C | 301ppm | YES | SAFE
109s | 60.7C | 302ppm | YES | SAFE
110s | 63.4C | 302ppm | YES | SAFE
111s | 62.6C | 300ppm | YES | SAFE
112s | 64.0C | 304ppm | YES | SAFE
113s | 63.6C | 305ppm | YES | SAFE
114s | 64.0C | 293ppm | YES | SAFE
115s | 62.4C | 302ppm | YES | SAFE
116s | 60.1C | 303ppm | YES | SAFE
117s | 61.5C | 302ppm | YES | SAFE
118s | 58.9C | 299ppm | YES | SAFE
119s | 57.2C | 294ppm | YES | SAFE
120s | 60.1C | 297ppm | YES | SAFE
121s | 58.5C | 302ppm | YES | SAFE
122s | 58.4C | 304ppm | YES | SAFE
123s | 58.8C | 301ppm | YES | SAFE
124s | 59.0C | 298ppm | YES | SAFE
125s | 56.6C | 297ppm | YES | SAFE
126s | 59.0C | 302ppm | YES | SAFE
127s | 56.3C | 301ppm | YES | SAFE
128s | 55.2C | 306ppm | YES | SAFE
129s | 54.3C | 305ppm | YES | SAFE
130s | 57.4C | 298ppm | YES | SAFE
131s | 55.2C | 306ppm | YES | SAFE
132s | 53.7C | 298ppm | YES | SAFE
133s | 58.6C | 302ppm | YES | SAFE
134s | 55.5C | 313ppm | YES | SAFE
135s | 54.5C | 304ppm | YES | SAFE
136s | 56.6C | 312ppm | YES | SAFE
137s | 57.9C | 302ppm | YES | SAFE
138s | 56.7C | 315ppm | YES | SAFE
139s | 52.5C | 309ppm | YES | SAFE
140s | 57.0C | 305ppm | YES | SAFE
141s | 54.2C | 307ppm | YES | SAFE
142s | 58.3C | 304ppm | YES | SAFE
143s | 56.4C | 309ppm | YES | SAFE
144s | 58.6C | 312ppm | YES | SAFE
145s | 57.1C | 310ppm | YES | SAFE
146s | 55.3C | 310ppm | YES | SAFE
147s | 56.3C | 308ppm | YES | SAFE
148s | 53.3C | 311ppm | YES | SAFE
149s | 57.6C | 314ppm | YES | SAFE
150s | 56.3C | 316ppm | YES | SAFE
151s | 53.6C | 308ppm | YES | SAFE
152s | 56.6C | 319ppm | YES | SAFE
153s | 57.5C | 318ppm | YES | SAFE
154s | 57.0C | 314ppm | YES | SAFE
155s | 57.2C | 317ppm | YES | SAFE
156s | 56.6C | 318ppm | YES | SAFE
157s | 57.0C | 310ppm | YES | SAFE
158s | 57.4C | 330ppm | YES | SAFE
159s | 59.0C | 319ppm | YES | SAFE
160s | 55.7C | 327ppm | YES | SAFE
161s | 56.4C | 323ppm | YES | SAFE
162s | 57.9C | 325ppm | YES | SAFE
163s | 58.4C | 328ppm | YES | SAFE
164s | 60.5C | 330ppm | YES | SAFE
165s | 59.3C | 328ppm | YES | SAFE
166s | 60.7C | 325ppm | YES | SAFE
167s | 59.6C | 321ppm | YES | SAFE
168s | 60.2C | 337ppm | YES | SAFE
169s | 60.7C | 331ppm | YES | SAFE
170s | 61.7C | 330ppm | YES | SAFE
171s | 60.4C | 319ppm | YES | SAFE
172s | 60.2C | 339ppm | YES | SAFE
173s | 62.5C | 337ppm | YES | SAFE
174s | 64.4C | 332ppm | YES | SAFE
175s | 64.2C | 328ppm | YES | SAFE
176s | 62.5C | 329ppm | YES | SAFE
177s | 64.3C | 333ppm | YES | SAFE
178s | 63.3C | 327ppm | YES | SAFE
179s | 65.5C | 339ppm | YES | SAFE
180s | 66.4C | 327ppm | YES | SAFE
181s | 65.0C | 339ppm | YES | SAFE
182s | 68.1C | 330ppm | YES | SAFE
183s | 67.9C | 337ppm | YES | SAFE
184s | 67.1C | 327ppm | YES | SAFE
185s | 66.3C | 336ppm | YES | SAFE
186s | 69.2C | 341ppm | YES | SAFE
187s | 70.3C | 329ppm | YES | SAFE
188s | 70.6C | 333ppm | YES | SAFE
189s | 71.8C | 344ppm | YES | SAFE
190s | 69.1C | 322ppm | YES | SAFE
191s | 70.4C | 334ppm | YES | SAFE
192s | 70.7C | 340ppm | YES | SAFE
193s | 72.9C | 336ppm | YES | SAFE
194s | 74.2C | 342ppm | YES | SAFE
195s | 71.2C | 342ppm | YES | SAFE
196s | 72.9C | 338ppm | YES | SAFE
197s | 75.6C | 338ppm | YES | SAFE
198s | 75.8C | 327ppm | YES | SAFE
199s | 74.2C | 338ppm | YES | SAFE
200s | 77.6C | 341ppm | YES | SAFE
